TIME,OPEN,CLOSE,HIGH,LOW,VOLUME
1679271900,1977.55,1977.56,1976.8,1977.37,620
1679271960,1977.37,1977.38,1976.6,1976.88,461
1679272020,1976.94,1977.04,1976,1976.275,735
1679272080,1976.39,1976.87,1975.7,1976.67,795
1679272140,1976.615,1977.22,1976.2,1976.45,654
1679272200,1976.47,1976.65,1975.8,1976.14,739
1679272260,1975.985,1976.72,1975.6,1976.66,881
1679272320,1976.59,1976.98,1976.2,1976.59,667
1679272380,1976.6,1976.93,1976.1,1976.464,413
1679272440,1976.63,1976.67,1976,1976.58,497
1679272500,1976.51,1976.76,1975.8,1976.17,485
1679272560,1976.054,1976.24,1975.2,1975.64,757
1679272620,1975.63,1975.68,1974.6,1974.9,642
1679272680,1975.26,1975.76,1974.9,1975.2,772
1679272740,1975.48,1975.57,1974.8,1975.26,667
1679272800,1975,1975.38,1974.7,1975.09,591
1679272860,1975.08,1975.35,1974.3,1974.5,557
1679272920,1974.82,1975.19,1974.4,1974.8,630
1679272980,1975.04,1975.05,1974.3,1974.528,582
1679273040,1974.66,1974.71,1973.8,1974.158,699
1679273100,1974.164,1974.44,1973.9,1974.29,528
1679273160,1974.32,1974.68,1973.7,1973.97,750
1679273220,1974.01,1975.09,1973.4,1974.48,1077
1679273280,1974.52,1974.73,1974,1974.42,660
1679273340,1974.55,1975.17,1974.2,1974.57,626
1679273400,1974.56,1974.59,1973.5,1974.135,875
1679273460,1973.8,1974.41,1973.6,1974,620
1679273520,1974.03,1974.11,1973.2,1973.99,770
1679273580,1973.94,1974.11,1973.3,1973.75,902
1679273640,1973.81,1973.95,1973.1,1973.62,1237
1679273700,1973.3,1973.76,1972.4,1972.64,992
1679273760,1972.69,1973.13,1971.9,1972.43,1096
1679273820,1972.4,1972.64,1971.7,1971.7,1158
1679273880,1972.02,1972.5,1971.6,1972.17,708
1679273940,1972.26,1972.4,1971.4,1971.7,881
1679274000,1971.915,1972.26,1969,1969.44,2215
1679274060,1969.45,1970.83,1968.6,1970.505,2133
1679274120,1970.55,1970.65,1968.3,1968.5,1495
1679274180,1968.76,1969.83,1967.7,1968.71,1448
1679274240,1968.4,1969.03,1968.2,1968.92,1246
1679274300,1968.92,1969.96,1968.7,1969.9,1096
1679274360,1969.91,1970.64,1968.8,1970.57,1063
1679274420,1970.57,1971.36,1968.9,1969.28,1398
1679274480,1969.2,1969.44,1968.4,1969.32,1266
1679274540,1969,1969.62,1968.8,1969.52,896
1679274600,1969.52,1969.93,1968.3,1969.04,893
1679274660,1969.06,1969.78,1968.1,1969.49,1043
1679274720,1969.49,1969.65,1968.4,1969.59,881
1679274780,1969.59,1969.89,1968.8,1968.985,982
1679274840,1969.07,1969.44,1968.5,1968.965,814
